College,Program Code,Program Name
CASS,BA-ENG,BA IN ENGLISH
CASS,BA-FIL,BA IN FILIPINO
CASS,BA-HIST,BA IN HISTORY
CASS,BA-POLSCI,BA IN POLITICAL SCIENCE
CED,BEE-ENG,BACHELOR OF ELEMENTARY EDUCATION (ENGLISH)
CED,BEE-SH,BACHELOR OF ELEMENTARY EDUCATION (SCIENCE AND HEALTH)
CBAA,BSA,BS IN ACCOUNTANCY
CBAA,BSBA-BE,BS IN BUSINESS ADMINISTRATION (BUSINESS ECONOMICS)
CBAA,BSBA-ECON,BS IN BUSINESS ADMINISTRATION (ECONOMICS)
CBAA,BSBA-EM,BS IN BUSINESS ADMINISTRATION (ENTREPRENEURIAL MARKETING)
CSM,BSBIO-BO,BS IN BIOLOGY (BOTANY)
CSM,BSBIO-GE,BS IN BIOLOGY (GENERAL)
CSM,BSBIO-MA,BS IN BIOLOGY (MARINE)
CSM,BSBIO-ZO,BS IN BIOLOGY (ZOOLOGY)
COET,BSCE,BS IN CIVIL ENGINEERING
COET,BSCERE,BS IN CERAMICS ENGINEERING
COET,BSCHE,BS IN CHEMICAL ENGINEERING
CSM,BSCHEM,BS IN CHEMISTRY
COET,BSCPE,BS IN COMPUTER ENGINEERING
CCS,BSCS,BS IN COMPUTER SCIENCE
CED,BSE-BIO,BACHELOR OF SECONDARY EDUCATION (BIOLOGY)
CED,BSE-CHEM,BACHELOR OF SECONDARY EDUCATION (CHEMISTRY)
CED,BSE-GS,BACHELOR OF SECONDARY EDUCATION (GENERAL SCIENCE)
CED,BSE-MAPEH,BACHELOR OF SECONDARY EDUCATION (MAPEH)
CED,BSE-MATH,BACHELOR OF SECONDARY EDUCATION (MATHEMATICS)
CED,BSE-PHYS,BACHELOR OF SECONDARY EDUCATION (PHYSICS)
CED,BSE-TLE,BACHELOR OF SECONDARY EDUCATION (TLE)
COET,BSECE,BS IN ELECTRONICS & COMMUNICATIONS ENGINEERING
CCS,BSECT-CS,BS IN ELECTRONICS AND COMPUTER TECHNOLOGY (COMMUNICATIONS SYSTEM)
CCS,BSECT-ES,BS IN ELECTRONICS AND COMPUTER TECHNOLOGY (EMBEDDED SYSTEMS)
COET,BSEE,BS IN ELECTRICAL ENGINEERING
COET,BSEET,BS IN ENVIRONMENTAL ENGINEERING TECHNOLOGY
CBAA,BSHRM,BS IN HOTEL AND RESTAURANT MANAGEMENT
CED,BSIE-DR,BS IN INDUSTRIAL EDUCATION (DRAFTING)
CCS,BSIS,BS IN INFORMATION SYSTEMS
CCS,BSIT,BS IN INFORMATION TECHNOLOGY
CSM,BSMATH,BS IN MATHEMATICS
COET,BSME,BS IN MINING ENG'G.
COET,BSME,BS IN MECHANICAL ENGINEERING
COET,BSMETE,BS IN METALLURGICAL ENGINEERING
CHS,BSN,BS IN NURSING
CSM,BSPHYS,BS IN PHYSICS
CASS,BSPSYCH,BS IN PSYCHOLOGY
CSM,BSSTAT,BS IN STATISTICS
CED,BSTE-DT,BS IN TECHNOLOGY TEACHER EDUCATION (DRAFTING TECH)
CED,BSTE-IT,BS IN TECHNOLOGY TEACHER EDUCATION (INDUSTRIAL TECH)
CED,CPT,Certificate Program for Teachers
COET,DIP-CHET,DIPLOMA IN CHEMICAL ENGINEERING TECHNOLOGY
CCS,DIP-EET-CE,DIPLOMA IN ELECTRONICS ENGINEERING TECH (Computer Electronics)
CCS,DIP-EET-CO,DIPLOMA IN ELECTRONICS ENGINEERING TECH (Communication Electronics)
CCS,DIP-ET,DIPLOMA IN ELECTRONICS TECHNOLOGY
CASS,GEP,GENERAL EDUCATION PROGRAM
